product,gen_model,image_type,image_filename,real_caption,syn_caption,similarity_score
Croissants,GAN,IO,0.png,this is a picture of a triangle with a pink spot on it,there is a triangle with a pink dot on it on a blue surface,0.7775975465774536
Croissants,GAN,IO,1.png,this is a picture of a triangle with a pink dot on it,this is a picture of a triangular sign with a pink dot on it,0.8888688087463379
Croissants,GAN,IO,10.png,this is a picture of a triangle with a pink spot on it,this is a picture of a triangle with a pink spot on it,1.0000001192092896
Croissants,GAN,IO,11.png,this is a picture of a triangle with a pink spot on it,this is a picture of a triangle with a pink dot on it,0.9090173244476318
Croissants,GAN,IO,12.png,this is a picture of a piece of paper with a piece of meat on it,this is a picture of a triangle with a pink dot on it,0.3912675678730011
Croissants,GAN,IO,13.png,this is a picture of a triangle with a pink dot on it,there is a piece of paper that has a pink object in it,0.5010206699371338
Croissants,GAN,IO,14.png,this is a picture of a triangular sign with a pink dot on it,this is a picture of a triangle with a pink dot on it,0.8888688087463379
Croissants,GAN,IO,2.png,there is a triangle with a pink dot on it on a blue surface,there is a triangle with a pink dot on it on a blue surface,0.9999999403953552
Croissants,GAN,IO,3.png,this is a picture of a triangle with a pink object in it,there is a triangle shaped object with a pink oval on it,0.8806861042976379
Croissants,GAN,IO,4.png,this is a picture of a piece of paper with a pink spot on it,there is a triangle with a pink dot on it on a blue surface,0.5529361963272095
Croissants,GAN,IO,5.png,this is a picture of a triangular sign with a ham on it,this is a picture of a triangular sign with a pink circle on it,0.6982163190841675
Croissants,GAN,IO,6.png,this is a picture of a triangular shaped sticker with a fingerprint on it,there is a triangle with a pink dot on it on a blue surface,0.48680686950683594
Croissants,GAN,IO,7.png,this is a picture of a triangular sign with a picture of a cat on it,this is a picture of a triangular sign with a pink dot on it,0.7377802133560181
Croissants,GAN,IO,8.png,this is a picture of a triangular sign with a pink dot on it,there is a triangle shaped object with a pink oval on it,0.6544363498687744
Croissants,GAN,IO,9.png,there is a triangle with a pink substance on it,there is a triangle with a pink dot on it on a blue surface,0.7943256497383118
Croissants,GAN,NIO,0.png,there is a piece of paper that has a piece of meat on it,there is a close up of a tooth with a toothbrush in it,0.3576367497444153
Croissants,GAN,NIO,1.png,this is a picture of a triangular shaped sticker with a fingerprint on it,this is a picture of a close up of a triangular shaped object,0.6176908016204834
Croissants,GAN,NIO,10.png,there is a piece of paper with a piece of food on it,this is a picture of a triangle with a pink dot on it,0.21848157048225403
Croissants,GAN,NIO,11.png,there is a piece of paper with a piece of ham on it,there is a close up of a triangle with a pink lip on it,0.27077969908714294
Croissants,GAN,NIO,12.png,there is a piece of paper with a triangle on top of it,there is a paper triangle with a bowl on top of it,0.7974492907524109
Croissants,GAN,NIO,13.png,there are three pieces of paper that have been cut up to look like a fish,this is a close up of a piece of paper with a pink substance on it,0.4423021376132965
Croissants,GAN,NIO,14.png,there is a piece of paper that has a pink spot on it,this is a picture of a piece of paper with a pink circle on it,0.7959442138671875
Croissants,GAN,NIO,2.png,this is a picture of a piece of paper with a pink circle on it,this is a picture of a close up of a tooth on a blue surface,0.42813369631767273
Croissants,GAN,NIO,3.png,there is a pink teddy bear sitting on top of a piece of paper,this is a picture of a piece of paper with a pink circle on it,0.49417829513549805
Croissants,GAN,NIO,4.png,there is a triangle shaped object with a piece of meat on it,there is a triangular shaped object with a pink substance on it,0.5988177061080933
Croissants,GAN,NIO,5.png,there is a piece of paper that has a face on it,this is a picture of a triangle with a pink dot on it,0.3444448709487915
Croissants,GAN,NIO,6.png,this is a picture of a piece of paper with a piece of food on it,there is a piece of paper with a heart on top of it,0.5852009057998657
Croissants,GAN,NIO,7.png,there is a small triangle shaped object with a pink dot on it,this is a picture of a triangular shaped object with a pink dot on it,0.8940214514732361
Croissants,GAN,NIO,8.png,there is a piece of paper with a red circle on it,there is a piece of paper with a red heart on it,0.7611348628997803
Croissants,GAN,NIO,9.png,this is a picture of a triangle shaped object with a pink object in the middle,there is a close up of a tooth with a toothbrush in it ' s mouth,0.2585810422897339
Croissants,DM,IO,0.png,this is a picture of a triangle with a pink spot on it,there is a piece of paper that has a pink object on it,0.5647409558296204
Croissants,DM,IO,1.png,this is a picture of a piece of paper with a pink dot on it,there is a picture of a triangle with a pink dot on it,0.7317319512367249
Croissants,DM,IO,10.png,there is a triangle with a pink substance on it on a blue background,there is a triangle with a pink dot on it,0.823461651802063
Croissants,DM,IO,11.png,this is a picture of a triangle with a pink dot on it,there is a picture of a triangle with a pink dot on it,0.9804004430770874
Croissants,DM,IO,12.png,this is a picture of a triangle with a pink spot on it,there is a picture of a triangle with a pink dot on it,0.8977757692337036
Croissants,DM,IO,13.png,this is a picture of a piece of paper with a piece of meat on it,there is a picture of a triangle with a pink dot on it,0.3832817077636719
Croissants,DM,IO,14.png,this is a picture of a piece of paper with a pink dot on it,there is a picture of a triangular shaped object on a blue surface,0.46990805864334106
Croissants,DM,IO,2.png,this is a picture of a triangle with a pink stone in it,there is a picture of a triangular sign with a pink dot on it,0.6757465600967407
Croissants,DM,IO,3.png,there is a triangle with a pink dot on it on a blue surface,there is a pink stone in the middle of a triangle,0.6246013045310974
Croissants,DM,IO,4.png,this is a picture of a triangle with a pink spot on it,an image of a triangle with a pink stone in the middle,0.7682446241378784
Croissants,DM,IO,5.png,this is a picture of a piece of paper with a pink spot on it,this is a picture of a triangle with a pink dot on it,0.6328118443489075
Croissants,DM,IO,6.png,this is a picture of a triangle with a piece of meat in it,there is a triangle with a pink dot on it on a blue background,0.5828535556793213
Croissants,DM,IO,7.png,this is a picture of a sticker with a picture of a hamster on it,an image of a triangle with a pink dot on it,0.33598774671554565
Croissants,DM,IO,8.png,this is a picture of a triangular sign with a fingerprint on it,there is a triangular sign with a pink stone in the middle of it,0.6235213279724121
Croissants,DM,IO,9.png,this is a picture of a triangular sign with a pink dot on it,this is a picture of a triangular shaped object with a pink dot on it,0.8504037857055664
Croissants,DM,NIO,0.png,this is a picture of a piece of paper with a piece of meat on it,this is a picture of a piece of paper with a pink object in it,0.6648316383361816
Croissants,DM,NIO,1.png,this is a picture of a triangle shaped sticker with a piece of meat on it,there is a piece of paper with a pink dot on it,0.4869350790977478
Croissants,DM,NIO,10.png,there is a close up of a piece of paper with a tongue sticking out of it,there is a piece of paper that has been folded up to look like a triangle,0.4890111982822418
Croissants,DM,NIO,11.png,there is a piece of food that is on top of a piece of paper,there is a picture of a triangle with a pink dot on it,0.2143075168132782
Croissants,DM,NIO,12.png,there is a piece of paper with a pink triangle on it,this is a picture of a piece of paper with a piece of meat in it,0.5647222399711609
