product,gen_model,data_type,image_type,filename,caption
Croissants,GAN,real,IO,0.png,this is a picture of a triangle with a pink spot on it
Croissants,GAN,real,IO,1.png,this is a picture of a triangle with a pink dot on it
Croissants,GAN,real,IO,10.png,this is a picture of a triangle with a pink spot on it
Croissants,GAN,real,IO,11.png,this is a picture of a triangle with a pink spot on it
Croissants,GAN,real,IO,12.png,this is a picture of a piece of paper with a piece of meat on it
Croissants,GAN,real,IO,13.png,this is a picture of a triangle with a pink dot on it
Croissants,GAN,real,IO,14.png,this is a picture of a triangular sign with a pink dot on it
Croissants,GAN,real,IO,2.png,there is a triangle with a pink dot on it on a blue surface
Croissants,GAN,real,IO,3.png,this is a picture of a triangle with a pink object in it
Croissants,GAN,real,IO,4.png,this is a picture of a piece of paper with a pink spot on it
Croissants,GAN,real,IO,5.png,this is a picture of a triangular sign with a ham on it
Croissants,GAN,real,IO,6.png,this is a picture of a triangular shaped sticker with a fingerprint on it
Croissants,GAN,real,IO,7.png,this is a picture of a triangular sign with a picture of a cat on it
Croissants,GAN,real,IO,8.png,this is a picture of a triangular sign with a pink dot on it
Croissants,GAN,real,IO,9.png,there is a triangle with a pink substance on it
Croissants,GAN,real,NIO,0.png,there is a piece of paper that has a piece of meat on it
Croissants,GAN,real,NIO,1.png,this is a picture of a triangular shaped sticker with a fingerprint on it
Croissants,GAN,real,NIO,10.png,there is a piece of paper with a piece of food on it
Croissants,GAN,real,NIO,11.png,there is a piece of paper with a piece of ham on it
Croissants,GAN,real,NIO,12.png,there is a piece of paper with a triangle on top of it
Croissants,GAN,real,NIO,13.png,there are three pieces of paper that have been cut up to look like a fish
Croissants,GAN,real,NIO,14.png,there is a piece of paper that has a pink spot on it
Croissants,GAN,real,NIO,2.png,this is a picture of a piece of paper with a pink circle on it
Croissants,GAN,real,NIO,3.png,there is a pink teddy bear sitting on top of a piece of paper
Croissants,GAN,real,NIO,4.png,there is a triangle shaped object with a piece of meat on it
Croissants,GAN,real,NIO,5.png,there is a piece of paper that has a face on it
Croissants,GAN,real,NIO,6.png,this is a picture of a piece of paper with a piece of food on it
Croissants,GAN,real,NIO,7.png,there is a small triangle shaped object with a pink dot on it
Croissants,GAN,real,NIO,8.png,there is a piece of paper with a red circle on it
Croissants,GAN,real,NIO,9.png,this is a picture of a triangle shaped object with a pink object in the middle
Croissants,GAN,syn,IO,0.png,there is a triangle with a pink dot on it on a blue surface
Croissants,GAN,syn,IO,1.png,this is a picture of a triangular sign with a pink dot on it
Croissants,GAN,syn,IO,10.png,this is a picture of a triangle with a pink spot on it
Croissants,GAN,syn,IO,11.png,this is a picture of a triangle with a pink dot on it
Croissants,GAN,syn,IO,12.png,this is a picture of a triangle with a pink dot on it
Croissants,GAN,syn,IO,13.png,there is a piece of paper that has a pink object in it
Croissants,GAN,syn,IO,14.png,this is a picture of a triangle with a pink dot on it
Croissants,GAN,syn,IO,2.png,there is a triangle with a pink dot on it on a blue surface
